Respondent ID,Start Date,Do you think you will participate in the 2020 presidential primary?,What best describes your political beliefs?,Are you a registered voter?,Which race/ethnicity best describes you? (Please choose only one.),Who do you think you will vote for in the 2020 general election?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,In what ZIP code is your home located? (enter 5-digit ZIP code; for example 00544 or 94305),Age,Gender,Household Income,Region,Device Type
11400031499,2020-03-07 02:54:30,Yes I will likely vote in my state's Republican primary or caucus,Very conservative,Yes,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,,Rep. Tulsi Gabbard,,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,,,,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,28754,> 60,Male,$100000-$124999,South Atlantic,Android Phone / Tablet
11400030896,2020-03-07 02:53:41,No I don't currently plan to vote in a major party's 2020 presidential primary or caucus,Neither liberal nor conservative,Yes,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,,,,,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,,,,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,97417,45-60,Male,$25000-$49999,Pacific,Windows Desktop / Laptop
11400030423,2020-03-07 02:53:18,Yes I will likely vote in my state's Democratic primary or caucus,Very liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,Rep. Tulsi Gabbard,,,Fmr. V.P. Joe Biden,,,,,Rep. Tulsi Gabbard,,,92057,> 60,Female,$10000-$24999,Pacific,iOS Phone / Tablet
11400028335,2020-03-07 02:50:37,Yes I will likely vote in my state's Republican primary or caucus,Moderately conservative,Yes,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,,,,,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,,,,,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,96001,> 60,Female,Prefer not to answer,Pacific,Windows Desktop / Laptop
11400026986,2020-03-07 02:49:07,Yes I will likely vote in my state's Democratic primary or caucus,Very liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,Rep. Tulsi Gabbard,,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,Rep. Tulsi Gabbard,,,98665,> 60,Female,$75000-$99999,Pacific,Android Phone / Tablet
11400026975,2020-03-07 02:44:02,Yes I will likely vote in my state's Democratic primary or caucus,Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,Rep. Tulsi Gabbard,,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,Rep. Tulsi Gabbard,,,36060,45-60,Female,$50000-$74999,,Android Phone / Tablet
11400025619,2020-03-07 02:46:41,Yes I will likely vote in my state's Democratic primary or caucus,Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,,,,Fmr. V.P. Joe Biden,,,,,,,,Fmr. V.P. Joe Biden,,,,,,,,94109,45-60,Female,$50000-$74999,Pacific,iOS Phone / Tablet
11400020438,2020-03-07 02:39:08,Yes I will likely vote in my state's Democratic primary or caucus,Neither liberal nor conservative,Yes,White or Caucasian,I'm not sure at this time,Fmr. V.P. Joe Biden,,,,Fmr. V.P. Joe Biden,,,,,,,,Fmr. V.P. Joe Biden,,,,Fmr. V.P. Joe Biden,,,,19002,45-60,Female,$150000-$174999,Middle Atlantic,iOS Phone / Tablet
11400018039,2020-03-07 02:36:54,I don't know or I'd rather not say,Neither liberal nor conservative,Yes,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,,,,,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,,,,,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,35959,45-60,Female,$0-$9999,East South Central,Android Phone / Tablet
11400017717,2020-03-07 02:34:21,Yes I will likely vote in my state's Republican primary or caucus,Very conservative,Yes,Hispanic or Latino,Probably the Republican nominee,,,,I have not heard of any of these people,,,,I have not heard of any of these people,,,,I have not heard of any of these people,,,,I have not heard of any of these people,,,,I have not heard of any of these people,85374,45-60,Male,$50000-$74999,Mountain,iOS Phone / Tablet
11400016899,2020-03-07 02:35:13,Yes I will likely vote in my state's Democratic primary or caucus,Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,Rep. Tulsi Gabbard,,,Fmr. V.P. Joe Biden,,,,,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,90069,18-29,Male,$200000+,Pacific,iOS Phone / Tablet
11400016445,2020-03-07 02:33:50,Yes I will likely vote in my state's Democratic primary or caucus,Very liberal,No,Asian or Asian American,Probably the Democratic nominee,Fmr. V.P. Joe Biden,,,,Fmr. V.P. Joe Biden,,,,Fmr. V.P. Joe Biden,,,,Fmr. V.P. Joe Biden,,,,Fmr. V.P. Joe Biden,,,,94538,45-60,Male,$175000-$199999,Pacific,Android Phone / Tablet
11400015864,2020-03-07 02:33:56,No I don't currently plan to vote in a major party's 2020 presidential primary or caucus,Moderately conservative,Yes,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,,Rep. Tulsi Gabbard,,,,,Sen. Bernie Sanders,,,,,,,,,,55442,> 60,Male,$25000-$49999,West North Central,Windows Desktop / Laptop
11400015033,2020-03-07 02:32:07,Yes I will likely vote in my state's Republican primary or caucus,Neither liberal nor conservative,Yes,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,,,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,17740,45-60,Female,Prefer not to answer,Middle Atlantic,Android Phone / Tablet
11400013647,2020-03-07 02:31:58,Yes I will likely vote in my state's Democratic primary or caucus,Slightly liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,Rep. Tulsi Gabbard,,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,Rep. Tulsi Gabbard,,,79109,> 60,Male,$50000-$74999,West South Central,Android Phone / Tablet
11400012439,2020-03-07 02:29:27,Yes I will likely vote in my state's Republican primary or caucus,Moderately conservative,Yes,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,,,,,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,8753,45-60,Female,$75000-$99999,Middle Atlantic,Android Phone / Tablet
11400011666,2020-03-07 02:27:44,Yes I will likely vote in my state's Democratic primary or caucus,Very liberal,Yes,Black or African American,I'm not sure at this time,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,,,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,,,,36579,45-60,Male,$10000-$24999,East South Central,Android Phone / Tablet
11400011187,2020-03-07 02:28:40,I don't know or I'd rather not say,Moderately conservative,Yes,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,,,,,,,Sen. Bernie Sanders,,,,,,,,,,27615,> 60,Female,$100000-$124999,South Atlantic,Windows Desktop / Laptop
11400010717,2020-03-07 02:28:23,Yes I will likely vote in my state's Democratic primary or caucus,Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,Rep. Tulsi Gabbard,,,30501,> 60,Female,$100000-$124999,South Atlantic,iOS Phone / Tablet
11400010515,2020-03-07 02:28:37,Yes I will likely vote in my state's Democratic primary or caucus,Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,,,,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,,,95476,> 60,Male,$75000-$99999,Pacific,iOS Phone / Tablet
11400010425,2020-03-07 02:25:40,Yes I will likely vote in my state's Democratic primary or caucus,Slightly liberal,Yes,White or Caucasian,I'm not sure at this time,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,,,,,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,52213,45-60,Female,$50000-$74999,West North Central,Android Phone / Tablet
11400009616,2020-03-07 02:23:41,I don't know or I'd rather not say,Neither liberal nor conservative,Yes,White or Caucasian,I'm not sure at this time,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,,,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,46052,45-60,Female,$50000-$74999,East North Central,Android Phone / Tablet
11400009320,2020-03-07 02:03:02,Yes I will likely vote in my state's Democratic primary or caucus,Neither liberal nor conservative,Yes,Hispanic or Latino,I'm not sure at this time,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,Rep. Tulsi Gabbard,,,Fmr. V.P. Joe Biden,,,,,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,80631,45-60,Male,$25000-$49999,Mountain,Android Phone / Tablet
11400008238,2020-03-07 02:25:45,Yes I will likely vote in my state's Democratic primary or caucus,Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,94087,> 60,Female,$200000+,Pacific,MacOS Desktop / Laptop
11400008228,2020-03-07 02:25:24,No I don't currently plan to vote in a major party's 2020 presidential primary or caucus,Slightly conservative,Yes,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,85614,> 60,Male,Prefer not to answer,Mountain,Windows Desktop / Laptop
11400006195,2020-03-07 02:23:00,Yes I will likely vote in my state's Republican primary or caucus,Moderately conservative,Yes,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,,,,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,37072,> 60,Female,$100000-$124999,East South Central,iOS Phone / Tablet
11400005751,2020-03-07 02:22:11,No I don't currently plan to vote in a major party's 2020 presidential primary or caucus,I don't know or I'd rather not say,No,Native Hawaiian or other Pacific Islander,Neither / I don't intend to vote.,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,,,,,,,,,,,,,,,,,96797,45-60,Female,$50000-$74999,Pacific,iOS Phone / Tablet
11400005363,2020-03-07 02:21:56,Yes I will likely vote in my state's Democratic primary or caucus,Moderately liberal,Yes,Hispanic or Latino,Probably the Democratic nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,Rep. Tulsi Gabbard,,,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,,,,,28557,30-44,Male,$75000-$99999,South Atlantic,iOS Phone / Tablet
11400003259,2020-03-07 02:17:06,No I don't currently plan to vote in a major party's 2020 presidential primary or caucus,Slightly liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,,,,,96740,45-60,Male,$125000-$149999,Pacific,Android Phone / Tablet
11400003134,2020-03-07 02:19:11,I don't know or I'd rather not say,I don't know or I'd rather not say,Yes,White or Caucasian,I'm not sure at this time,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,,,,,,,,,,,,,,,,,26003,> 60,Male,Prefer not to answer,South Atlantic,iOS Phone / Tablet
11400002539,2020-03-07 02:15:26,No I don't currently plan to vote in a major party's 2020 presidential primary or caucus,Slightly conservative,Yes,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,,Rep. Tulsi Gabbard,,,,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,2911,45-60,Male,$150000-$174999,New England,iOS Phone / Tablet
11400000933,2020-03-07 02:16:19,Yes I will likely vote in my state's Democratic primary or caucus,Neither liberal nor conservative,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,Rep. Tulsi Gabbard,,,Fmr. V.P. Joe Biden,,,,,Rep. Tulsi Gabbard,,,60172,> 60,Female,$100000-$124999,East North Central,Windows Desktop / Laptop
11399999938,2020-03-07 02:13:47,I don't know or I'd rather not say,Neither liberal nor conservative,Yes,White or Caucasian,I'm not sure at this time,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,78412,45-60,Female,$10000-$24999,West South Central,iOS Phone / Tablet
11399999801,2020-03-07 02:14:41,I don't know or I'd rather not say,Moderately conservative,Yes,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,,,,,,,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,6705,> 60,Female,Prefer not to answer,New England,Android Phone / Tablet
11399999723,2020-03-07 02:14:30,Yes I will likely vote in my state's Republican primary or caucus,I don't know or I'd rather not say,Yes,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,,,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,,,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,93449,45-60,Female,$50000-$74999,Pacific,Android Phone / Tablet
11399999528,2020-03-07 02:14:01,Yes I will likely vote in my state's Republican primary or caucus,Moderately conservative,Yes,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,34986,> 60,Female,$25000-$49999,South Atlantic,Android Phone / Tablet
11399997904,2020-03-07 02:12:27,I don't know or I'd rather not say,Neither liberal nor conservative,Yes,White or Caucasian,I'm not sure at this time,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,,,,,,
11399997670,2020-03-07 02:12:04,Yes I will likely vote in my state's Democratic primary or caucus,I don't know or I'd rather not say,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,,,,17702,> 60,Female,$25000-$49999,Middle Atlantic,MacOS Desktop / Laptop
11399997608,2020-03-07 02:12:24,No I don't currently plan to vote in a major party's 2020 presidential primary or caucus,Very conservative,Yes,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,,,,,,,,,,,,,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,55122,> 60,Male,$50000-$74999,West North Central,Android Phone / Tablet
11399996552,2020-03-07 02:10:54,Yes I will likely vote in my state's Democratic primary or caucus,Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,93401,> 60,Male,$50000-$74999,Pacific,Windows Desktop / Laptop
11399994463,2020-03-07 02:08:25,Yes I will likely vote in my state's Democratic primary or caucus,Slightly liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,75703,45-60,Female,$150000-$174999,West South Central,iOS Phone / Tablet
11399994237,2020-03-07 02:07:48,Yes I will likely vote in my state's Republican primary or caucus,Very conservative,Yes,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,,Rep. Tulsi Gabbard,,,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,,,,,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,28086,30-44,Male,$50000-$74999,South Atlantic,Android Phone / Tablet
11399994017,2020-03-07 02:07:50,Yes I will likely vote in my state's Republican primary or caucus,Moderately conservative,Yes,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,,Sen. Bernie Sanders,,,,Sen. Bernie Sanders,,,,,,,,,,,,,,,
11399994014,2020-03-07 02:07:43,Yes I will likely vote in my state's Democratic primary or caucus,Moderately conservative,Yes,Black or African American,Probably the Democratic nominee,Fmr. V.P. Joe Biden,,,,Fmr. V.P. Joe Biden,,,,,,,,Fmr. V.P. Joe Biden,,,,,,,,19119,45-60,Female,$125000-$149999,Middle Atlantic,Android Phone / Tablet
11399993872,2020-03-07 02:06:05,Yes I will likely vote in my state's Democratic primary or caucus,Very conservative,Yes,Another race,Probably the Democratic nominee,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,20747,45-60,Female,$75000-$99999,South Atlantic,Windows Desktop / Laptop
11399993826,2020-03-07 02:06:59,Yes I will likely vote in my state's Republican primary or caucus,Moderately liberal,Yes,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,Fmr. V.P. Joe Biden,,,,60513,45-60,Female,$50000-$74999,East North Central,Android Phone / Tablet
11399993754,2020-03-07 02:07:47,Yes I will likely vote in my state's Republican primary or caucus,Moderately conservative,Yes,American Indian or Alaska Native,Probably the Republican nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,,Rep. Tulsi Gabbard,,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,95330,45-60,Male,$200000+,Pacific,iOS Phone / Tablet
11399992889,2020-03-07 02:06:35,Yes I will likely vote in my state's Democratic primary or caucus,Very liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,Rep. Tulsi Gabbard,,,Fmr. V.P. Joe Biden,,,,,Rep. Tulsi Gabbard,,,90066,> 60,Female,$100000-$124999,Pacific,iOS Phone / Tablet
11399992755,2020-03-07 02:06:22,I don't know or I'd rather not say,Neither liberal nor conservative,Yes,White or Caucasian,I'm not sure at this time,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,97051,> 60,Female,$25000-$49999,Pacific,Windows Desktop / Laptop
11399992452,2020-03-07 02:04:49,I don't know or I'd rather not say,Slightly conservative,No,White or Caucasian,I'm not sure at this time,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,11967,45-60,Female,$75000-$99999,Middle Atlantic,Android Phone / Tablet
11399992436,2020-03-07 02:03:17,Yes I will likely vote in my state's Democratic primary or caucus,Slightly liberal,Unsure / Don’t know,Asian or Asian American,Probably the Republican nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,Rep. Tulsi Gabbard,,,11040,45-60,Female,$75000-$99999,Middle Atlantic,iOS Phone / Tablet
11399992213,2020-03-07 02:05:45,Yes I will likely vote in my state's Democratic primary or caucus,Slightly liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,,,,,,,,,,,,,,,,,,,,,,,,,
11399992078,2020-03-07 02:05:09,Yes I will likely vote in my state's Democratic primary or caucus,Neither liberal nor conservative,Yes,White or Caucasian,I'm not sure at this time,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,86005,> 60,Female,Prefer not to answer,,Windows Desktop / Laptop
11399991881,2020-03-07 02:03:46,Yes I will likely vote in my state's Democratic primary or caucus,Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,,,,Fmr. V.P. Joe Biden,,,,,,,,Fmr. V.P. Joe Biden,,,,,,,,55738,45-60,Female,$25000-$49999,West North Central,iOS Phone / Tablet
11399991158,2020-03-07 01:59:32,Yes I will likely vote in my state's Democratic primary or caucus,Moderately liberal,Yes,Hispanic or Latino,I'm not sure at this time,,,Sen. Bernie Sanders,,,,,,,,Sen. Bernie Sanders,,,,,,,,Sen. Bernie Sanders,,61108,45-60,Female,$10000-$24999,East North Central,Android Phone / Tablet
11399990860,2020-03-07 02:04:14,Yes I will likely vote in my state's Democratic primary or caucus,Slightly conservative,Yes,White or Caucasian,I'm not sure at this time,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,,,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,78201,> 60,Female,$75000-$99999,West South Central,iOS Phone / Tablet
11399990318,2020-03-07 02:03:23,Yes I will likely vote in my state's Democratic primary or caucus,Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,32605,> 60,Female,$125000-$149999,South Atlantic,Android Phone / Tablet
11399990082,2020-03-07 02:03:18,Yes I will likely vote in my state's Republican primary or caucus,Moderately conservative,Yes,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,,Rep. Tulsi Gabbard,,,,,Sen. Bernie Sanders,,,,,,Fmr. V.P. Joe Biden,,,,32097,45-60,Female,$125000-$149999,South Atlantic,iOS Phone / Tablet
11399989905,2020-03-07 02:02:37,Yes I will likely vote in my state's Democratic primary or caucus,Slightly liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,Rep. Tulsi Gabbard,,,Fmr. V.P. Joe Biden,,,,,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,93110,> 60,Male,$175000-$199999,Pacific,iOS Phone / Tablet
11399989902,2020-03-07 02:02:43,Yes I will likely vote in my state's Republican primary or caucus,Moderately conservative,Yes,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,80906,45-60,Female,$75000-$99999,Mountain,iOS Phone / Tablet
